Explosive,C,H,N,O,Al,B,Ba,Ca,Cl,F,P,Pb,Si,Heat of Formation [kcal/mol],Density [g/cc],D (exp) [km/s],N_arb,M_arb,Q_arb,D_KJ
Picratol-52/48 [EXP D/TNT],6.48,5.52,3.52,6.52,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-56.08,1.63,6.97,0.027018,28.388,1182.742,7.009174286
Picric Acid,6.0,3.0,3.0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-59.40563,1.7,7.35,0.025109,33.043,1248.01,7.320969089
Picric Acid ,6.0,3.0,3.0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-51.3,1.76,7.57,0.025109,33.043,1283.406,7.5514756929999995
Picric Acid ,6.0,3.0,3.0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-51.3,1.71,7.26,0.025109,33.043,1283.406,7.402191654
Picric Acid ,6.0,3.0,3.0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-51.3,1.6,7.1,0.025109,33.043,1283.406,7.073766769
Polyvinyl Nitrate,2.0,3.0,1.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-24.52437,1.5,7.0,0.030899,26.909,1490.737,7.412074532999999
RDX,3.0,6.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.6586,1.77,8.7,0.033784,27.2,1482.246,8.683470563
RDX,3.0,6.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.7,1.8,8.75,0.033784,27.2,1482.432,8.786338647000001
RDX,3.0,6.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.7,1.72,8.46,0.033784,27.2,1482.432,8.512752055
RDX,3.0,6.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.7,1.66,8.24,0.033784,27.2,1482.432,8.30756211
RDX,3.0,6.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.7,1.6,8.13,0.033784,27.2,1482.432,8.102372166
RDX,3.0,6.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.7,1.46,7.6,0.033784,27.2,1482.432,7.6235956289999995
RDX,3.0,6.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.7,1.4,7.46,0.033784,27.2,1482.432,7.418405684
RDX,3.0,6.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.7,1.29,7.0,0.033784,27.2,1482.432,7.042224119
RDX,3.0,6.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.7,1.2,6.77,0.033784,27.2,1482.432,6.734439202999999
RDX,3.0,6.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.7,1.1,6.18,0.033784,27.2,1482.432,6.3924559620000005
RDX,3.0,6.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.7,1.0,6.1,0.033784,27.2,1482.432,6.050472721
RDX,3.0,6.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.7,0.95,5.8,0.033784,27.2,1482.432,5.8794811010000005
RDX,3.0,6.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.7,0.7,4.65,0.033784,27.2,1482.432,5.024522998999999
RDX,3.0,6.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.7,0.56,4.05,0.033784,27.2,1482.432,4.545746462
TACOT,12.0,4.0,8.0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,128.106,1.85,7.25,0.023196,31.111,1354.912,7.504997717
TATB,6.0,6.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-36.9226,1.88,7.76,0.02907,27.2,1075.494,7.756208925
TATB,6.0,6.0,6.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-36.9,1.85,7.66,0.02907,27.2,1075.581,7.668533429
Tetramethylolcyclopentanone Tetranitrate,9.0,12.0,4.0,13.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-161.59452,1.55,7.04,0.029948,27.652,1339.077,7.310139878999999
Tetryl,7.0,5.0,5.0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.6781,1.71,7.85,0.027003,30.452,1420.481,7.714415541
Tetryl,7.0,5.0,5.0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.67,1.73,7.72,0.027003,30.452,1420.453,7.776609245
Tetryl,7.0,5.0,5.0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.67,1.68,7.5,0.027003,30.452,1420.453,7.621029189
Tetryl,7.0,5.0,5.0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.67,1.61,7.58,0.027003,30.452,1420.453,7.403217111
Tetryl,7.0,5.0,5.0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.67,1.36,6.68,0.027003,30.452,1420.453,6.625316832999999
Tetryl,7.0,5.0,5.0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.67,1.2,6.34,0.027003,30.452,1420.453,6.127460655
TNT,7.0,5.0,3.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-17.7138,1.64,6.93,0.02533,28.522,1283.199,6.963565019
TNT,7.0,5.0,3.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-15.0,1.45,6.5,0.02533,28.522,1295.154,6.42928317
TNT,7.0,5.0,3.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-15.0,1.36,6.2,0.02533,28.522,1295.154,6.16854621
TNT,7.0,5.0,3.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-15.0,1.0,5.0,0.02533,28.522,1295.154,5.125598368
TNT,7.0,5.0,3.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-15.0,0.8,4.34,0.02533,28.522,1295.154,4.546182900000001
TNT,7.0,5.0,3.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-16.033260000000002,1.6,6.9,0.02533,28.522,1290.602,6.857806077999999
TNTAB,6.0,0.0,12.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,270.0,1.74,8.58,0.026786,33.333,1642.857,8.248530468
Triaminoguanidine Nitrate,1.0,9.0,7.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-11.49648,0.95,5.3,0.043413,20.138,1066.488,5.693802374
Trinitroaniline,6.0,4.0,4.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-20.0728,1.72,7.3,0.026316,30.0,1243.54,7.3685726979999995
Trinitroanisole,7.0,5.0,3.0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-36.610859999999995,1.57,6.8,0.02572,29.76,1314.359,6.92725804
Trinitrophenoxethyl nitrate,8.0,6.0,4.0,10.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-66.31288,1.65,7.6,0.02673,31.059,1371.343,7.460547704
XTX-8004,1.62,3.78,2.16,2.43,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-1.42,1.55,7.22,0.035088,23.5,1442.517,7.739866051
XTX-8004,1.62,3.78,2.16,2.43,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-1.42,1.5,7.45,0.035088,23.5,1442.517,7.573003267000001
