Explosive,C,H,N,O,Al,B,Ba,Ca,Cl,F,P,Pb,Si,Heat of Formation [kcal/mol],Density [g/cc],D (exp) [km/s],N_arb,M_arb,Q_arb,D_KJ
Baratol,1.866,1.333,2.267,6,0,0,0.733,0,0,0,0,0,0,-178.53636,2.55,4.87,0.029490701,36.06022276,730.6196233,9.535086869
Baratol-24/76 [TNT/BN],1.68,1.2,2.24,6,0,0,0.76,0,0,0,0,0,0,-183.72,2.61,4.93,0.02972028,36.41628959,704.4109736,9.680314677
BTF,6,0,6,6,0,0,0,0,0,0,0,0,0,144.4533,1.859,8.485,0.023809524,36,1692.275,8.365596939
BTF,6,0,6,6,0,0,0,0,0,0,0,0,0,144,1.76,8.26,0.023809524,36,1690.47619,8.048342084
Comp A-3,1.87,3.74,2.46,2.46,0,0,0,0,0,0,0,0,0,2.83,1.64,8.47,0.033956791,23.88217968,1386.737347,7.863637655
"Comp B, Grade A (pressed)",4.635,5.8,4.709,5.867,0,0,0,0,0,0,0,0,0,2.2134,1.72,7.99,0.030458643,27.21875928,1398.088763,7.966836909
Comp B-3 (cast),4.579,5.605,4.816,6,0,0,0,0,0,0,0,0,0,1.88244,1.62,7.7,0.030401559,27.64092962,1402.596874,7.675242946
Comp B-3 60/40 [RDX/TNT],4.6,5.6,4.8,6,0,0,0,0,0,0,0,0,0,2.82,1.72,7.89,0.030357143,27.64705882,1406.517857,7.996664593
Comp C-3,1.9,2.83,2.34,2.6,0,0,0,0,0,0,0,0,0,-6.45,1.6,7.63,0.031778178,26.53029111,1310.451045,7.572290905
Comp C-4,3.86,7.57,5.22,5.32,0,0,0,0,0,0,0,0,0,7.067259,1.59,8.04,0.033771041,24.43001745,1404.994384,7.748309548
Comp C-4,1.82,3.54,2.46,2.51,0,0,0,0,0,0,0,0,0,3.33,1.66,8.37,0.033706741,24.50445104,1404.440888,7.975887035
Cyanuric Triazide ,3,0,12,0,0,0,0,0,0,0,0,0,0,218.97889,1.02,5.5,0.029411765,28,1073.425931,5.304862775
Cyclotol 75/25,3.983,5.754,5.262,6,0,0,0,0,0,0,0,0,0,6.722534,1.76,8.3,0.031670833,27.46446,1432.653881,8.323596368
Cyclotol-50/50 [RDX/TNT],5,5.5,4.5,6,0,0,0,0,0,0,0,0,0,-0.15,1.63,7.66,0.029510022,27.77358491,1387.750557,7.582411584
Cyclotol-60/40 [RDX/TNT],4.6,5.6,4.8,6,0,0,0,0,0,0,0,0,0,2.82,1.74,8.09,0.030357143,27.64705882,1406.517857,8.060914679
Cyclotol-65/35 [RDX/TNT],4.4,5.65,4.95,6,0,0,0,0,0,0,0,0,0,4.305,1.72,8.04,0.030782123,27.5862069,1415.932961,8.061443989
Cyclotol-70/30 [RDX/TNT],4.2,5.7,5.1,6,0,0,0,0,0,0,0,0,0,5.79,1.73,8.06,0.031208054,27.52688172,1425.369128,8.15878556
Cyclotol-75/25 [RDX/TNT],3.983,5.754,5.262,6,0,0,0,0,0,0,0,0,0,7.28,1.62,7.95,0.031670833,27.46446,1435.151287,7.866286422
Cyclotol-77/23 [RDX/TNT],3.92,5.77,5.31,6,0,0,0,0,0,0,0,0,0,7.87,1.74,8.25,0.03180596,27.4462839,1438.619762,8.282605546
Cyclotol-78/22 [RDX/TNT],3.88,5.78,5.34,6,0,0,0,0,0,0,0,0,0,8.17,1.76,8.31,0.031891528,27.43499649,1440.528911,8.361757563
Cylcotrimethylene Trinitrosamine,3,6,6,3,0,0,0,0,0,0,0,0,0,68.2472,1.49,7.3,0.034482759,23,1388.777011,7.3640446
DATB,6,5,5,6,0,0,0,0,0,0,0,0,0,-29.172,1.79,7.52,0.027777778,28.44444444,1151.555556,7.534310462
DATB ,6,5,5,6,0,0,0,0,0,0,0,0,0,-23.6,1.8,7.6,0.027777778,28.44444444,1174.485597,7.60112506
DATB ,6,5,5,6,0,0,0,0,0,0,0,0,0,-23.6,1.78,7.6,0.027777778,28.44444444,1174.485597,7.541954626
DEGN,4,8,2,7,0,0,0,0,0,0,0,0,0,-99.4,1.38,6.76,0.033163265,25.53846154,1391.836735,7.056221005
Diazodinitrophenol,6,2,4,5,0,0,0,0,0,0,0,0,0,46.39008,1.5,6.6,0.023809524,32.4,1391.381333,6.699101227
Dinitrodimethyloxamide,4,6,4,6,0,0,0,0,0,0,0,0,0,-73.00062,1.48,7.1,0.031553398,27.07692308,1171.84165,7.001464167
Dinitrophenoxyethylnitrate,8,7,3,8,0,0,0,0,0,0,0,0,0,-70.02116,1.58,6.8,0.026556777,28.13793103,1259.26315,6.896523973
Dioxyethylnitramine Dinitrate,4,8,4,8,0,0,0,0,0,0,0,0,0,-65.88344,1.47,7.58,0.033333333,27,1472.152333,7.579352066
DIPAM,12,6,8,12,0,0,0,0,0,0,0,0,0,-20.11663,1.76,7.4,0.025330396,31.65217391,1269.34663,7.482903091
Dipentaerythritol Hexanitrate,10,16,6,19,0,0,0,0,0,0,0,0,0,-233.7932,1.6,7.4,0.03148855,28.48484848,1422.91374,7.832430332
EL-506A,2.41,4.29,1.08,3.27,0,0,0,0,0,0,0,0,0,-39.89,1.48,7.2,0.032265276,24.16628176,1360.814704,7.14362485
EL-506C,8.691,14.186,2.887,10.83,0,0,0,0,0,0,0,0,0,-140.991354,1.48,7,0.031323756,24.05631908,1338.516467,7.001625574
Ethriol Trinitrate,6,11,3,9,0,0,0,0,0,0,0,0,0,-114.7644,1.48,6.44,0.032527881,24.91428571,1366.675093,7.235275268
Ethyl Nitrate,2,5,1,3,0,0,0,0,0,0,0,0,0,-45.4545,1.1,5.8,0.035714286,21.53846154,1346.653846,6.052938975
Ethyl Picrate,8,7,3,7,0,0,0,0,0,0,0,0,0,-48.01924,1.55,6.5,0.026264591,26.96296296,1240.392062,6.673838045
Ethylenediamine Dinitrate,2,10,4,6,0,0,0,0,0,0,0,0,0,-156.17512,1.53,6.8,0.040322581,22.4,966.8004301,7.353899014
Ethylenedinitramine,2,6,4,4,0,0,0,0,0,0,0,0,0,-24.81153,1.65,7.57,0.036666667,24,1303.923133,8.08990733
EXP D (ammonium picrate),6,6,4,7,0,0,0,0,0,0,0,0,0,-94,1.55,6.85,0.028455285,28.28571429,1086.99187,6.802029612
EXP D (ammonium picrate),6,6,4,7,0,0,0,0,0,0,0,0,0,-94,1.48,6.7,0.028455285,28.28571429,1086.99187,6.596727889
FEFO,5,6,4,10,0,0,0,0,0,2,0,0,0,178,1.59,7.5,0.030141844,31.05882353,2412.765957,8.898055452
H-6,1.89,2.589,1.612,2.009,0.741,0,0,0.0045,0.009,0,0,0,0,-11.9498176,1.72,7.6,0.030729173,25.05869189,1205.958695,7.554018283
H-6,1.89,2.59,1.61,2.01,0.74,0,0,0.005,0.009,0,0,0,0,-0.81,1.75,7.9,0.030730274,25.05798576,1346.07978,7.858146715
HBX-1,2.06,2.62,1.57,2.07,0.63,0,0,0.005,0.009,0,0,0,0,-2.54,1.71,7.31,0.030021834,25.16363636,1320.936439,7.615775261
HBX-3,1.66,2.18,1.21,1.6,1.29,0,0,0.005,0.009,0,0,0,0,-2.53,1.84,7.12,0.030167079,24.5025641,1306.342822,7.95904616
Hexamethylenetriperoxide Diamine,6,12,2,6,0,0,0,0,0,0,0,0,0,-86.09097,1.57,4.5,0.033653846,19.42857143,1253.408798,7.038636678
Hexanitroethane,2,0,6,12,0,0,0,0,0,0,0,0,0,18.99633,0.91,4.95,0.03,38.66666667,1943.3211,6.322750754
Hexogen,3,6,6,6,0,0,0,0,0,0,0,0,0,16.000084,1.76,8.75,0.033783784,27.2,1488.288667,8.658075065
HMX,4,8,8,8,0,0,0,0,0,0,0,0,0,18.0682,1.89,9.11,0.033783784,27.2,1477.257432,9.08617652
HMX,4,8,8,8,0,0,0,0,0,0,0,0,0,17.9,1.6,7.91,0.033783784,27.2,1476.689189,8.094513181
HMX,4,8,8,8,0,0,0,0,0,0,0,0,0,17.9,1.4,7.3,0.033783784,27.2,1476.689189,7.411210121
HMX,4,8,8,8,0,0,0,0,0,0,0,0,0,17.9,1.2,6.58,0.033783784,27.2,1476.689189,6.72790706
HMX,4,8,8,8,0,0,0,0,0,0,0,0,0,17.9,1,5.8,0.033783784,27.2,1476.689189,6.044603999
HMX,4,8,8,8,0,0,0,0,0,0,0,0,0,17.9,0.75,4.88,0.033783784,27.2,1476.689189,5.190475173
HMX/Al-60/40,2.4,4.8,4.8,4.8,0.4,0,0,0,0,0,0,0,0,9.78,1.94,7.7,0.033783784,27.2,1471.283784,9.247646242
HMX/Al-70/30,2.8,5.6,5.6,5.6,0.3,0,0,0,0,0,0,0,0,11.81,1.86,8,0.033783784,27.2,1473.214286,8.977517968
HMX/Al-80/20,3.2,6.4,6.4,6.4,0.2,0,0,0,0,0,0,0,0,13.84,1.82,8.3,0.033783784,27.2,1474.662162,8.843109244
HMX/Al-90/10,3.6,7.2,7.2,7.2,0.1,0,0,0,0,0,0,0,0,15.87,1.76,8.3,0.033783784,27.2,1475.788288,8.639837376
HNAB,12,4,8,12,0,0,0,0,0,0,0,0,0,67.9,1.6,7.31,0.024336283,33.45454545,1445.79646,7.196805872
HNAB II,12,4,8,12,0,0,0,0,0,0,0,0,0,57.88288,1.77,7.65,0.024336283,33.45454545,1423.63469,7.683470836
HNB,6,0,6,12,0,0,0,0,0,0,0,0,0,10,1.97,9.3,0.025862069,38.66666667,1649.425287,9.191625598
HNS,14,6,6,12,0,0,0,0,0,0,0,0,0,13.882749,1.7,7,0.023333333,32,1356.183887,7.147957118
HNS,14,6,6,12,0,0,0,0,0,0,0,0,0,18.7,1.6,6.8,0.023333333,32,1366.888889,6.87197041
Hydrazine Nitrate,0,5,3,3,0,0,0,0,0,0,0,0,0,-59.02857,1.6,8.69,0.044736842,23.05882353,1147.067684,8.390953227
LX-01-0,1.286,3.143,1.428,2.857,0,0,0,0,0,0,0,0,0,-23.19075,1.24,6.84,0.034744717,26.14530863,1519.482315,6.942426508
LX-02-1,4.626,8.301,1.559,5.018,0,0,0,0,0,0,0,0,0.056,-82.29651,1.44,7.37,0.032325963,21.5558145,1195.555214,6.607924335
LX-04-1,4.735,7.877,7.019,7.019,0,0,0,0,0,1.593,0,0,0,-65.72335,1.86,8.46,0.032652843,26.35996996,1114.210748,8.166425278
LX-07-2,4.485,7.919,7.353,7.353,0,0,0,0,0,1.051,0,0,0,-37.20258,1.87,8.64,0.033056292,26.6663095,1243.765323,8.502458151
LX-08-0,2.771,6.291,1.156,4.226,0,0,0,0,0,0,0,0,0.711,-63.6696,1.42,6.56,0.034568237,22.65001466,1369.54509,7.092610126
LX-09-0,4.19,8.207,7.743,8.129,0,0,0,0,0,0.045,0,0,0,5.423054,1.84,8.81,0.03363411,27.11581688,1454.115143,8.853654345
LX-10-0,4.24,7.96,7.68,7.68,0,0,0,0,0,0.52,0,0,0,-9.397392,1.86,8.82,0.033432444,26.94519131,1364.080376,8.739926914
LX-10-1,4.264,7.956,7.648,7.648,0,0,0,0,0,0.573,0,0,0,-12.2262679,1.87,8.847,0.033396404,26.91875065,1352.185762,8.747113486
LX-11-0,4.991,7.835,6.678,6.678,0,0,0,0,0,2.148,0,0,0,-94.967992,1.87,8.32,0.032218624,26.02113063,974.4094126,7.848966898
LX-14,4.401,8.441,7.49,7.694,0,0,0,0,0,0,0,0,0,4.3407,1.833,8.837,0.03354661,26.51405602,1422.945747,8.721696777
LX-15 95/5 [HNS/KEL],13.7,5.8,5.7,11.4,0,0,0,0,0.15,0.55,0,0,0,9.72,1.78,6.84,0.023126735,31.9,1334.042553,7.310904766
LX-17 92.5/7.5 [TATB/KEL],6.15,5.7,5.55,5.55,0,0,0,0,0.225,0.825,0,0,0,-46.21,1.91,7.63,0.028353659,27.01075269,997.6422764,7.589397213
Mannitol Hexanitrate,6,8,6,18,0,0,0,0,0,0,0,0,0,-161.52584,1.73,8.26,0.030973451,33.14285714,1609.898584,8.777341613
MEN-II,1.543,3.468,1.794,1.663,0,0,0,0,0,0,0,0,0,-44.40168,1.02,5.49,0.035213274,21.10036602,712.0871547,4.88078944
Metadinitrobenzene,6,4,2,4,0,0,0,0,0,0,0,0,0,-6.50547,1.47,6.1,0.023809524,27,1208.896012,6.097855255
Methyl Nitrate,1,3,1,3,0,0,0,0,0,0,0,0,0,-37.2372,1.217,6.3,0.035714286,26.90909091,1557.958442,7.052273383
Minol-2 40/40/10 [AN/TNT/Al],2.8,3.6,2,3.6,0.1,0,0,0,0,0,0,0,0,-41.2,1.68,5.82,0.030130293,27.02702703,1200.651466,7.4920371
NC (13.35% N),6,7.286,2.698,10.41,0,0,0,0,0,0,0,0,0,207.1375,1.2,7.3,0.029530918,30.11402304,2594.165039,7.428333794
NG,3,5,3,9,0,0,0,0,0,0,0,0,0,-90.84,1.6,7.7,0.031938326,31.72413793,1582.202643,8.321299411
Nitroglycerine,3,5,3,9,0,0,0,0,0,0,0,0,0,-88.61442,1.59,7.6,0.031938326,31.72413793,1592.00696,8.298983906
Nitroglycol,2,4,2,6,0,0,0,0,0,0,0,0,0,-58.04136,1.48,7.3,0.032894737,30.4,1615.517368,7.973669929
Nitroguanidine; Picrite,1,4,4,2,0,0,0,0,0,0,0,0,0,-22.20453,1.71,8.2,0.038461538,23,898.0333654,7.653323702
Nitroisobutylglycerol Trinitrate,4,6,4,11,0,0,0,0,0,0,0,0,0,-54.58788,1.68,7.6,0.031468531,31.77777778,1730.112308,8.735386512
Nitromethane,1,3,1,2,0,0,0,0,0,0,0,0,0,-27.0108,1.138,6.29,0.036885246,23.11111111,1363.757377,6.408166641
NM,1,3,1,2,0,0,0,0,0,0,0,0,0,-26.962,1.13,6.32,0.036885246,23.11111111,1364.557377,6.382222814
NONA,18,5,9,18,0,0,0,0,0,0,0,0,0,27.4,1.7,7.4,0.023228346,34.71186441,1417.952756,7.359875691
NQ,1,4,4,2,0,0,0,0,0,0,0,0,0,-23.6307,1.55,7.65,0.038461538,23,884.3201923,7.13191832
NQ,1,4,4,2,0,0,0,0,0,0,0,0,0,-23.6,1.78,8.59,0.038461538,23,884.6153846,7.839850569
NQ,1,4,4,2,0,0,0,0,0,0,0,0,0,-23.6,1.62,7.93,0.038461538,23,884.6153846,7.347789941
Octogen,4,8,8,8,0,0,0,0,0,0,0,0,0,17.9201,1.9,9.1,0.033783784,27.2,1476.757095,9.11957261
Octol,4.909,7.091,6.485,7.394,0,0,0,0,0,0,0,0,0,7.073668,1.81,8.48,0.031670199,27.46431748,1428.182716,8.481418007
Octol-60/40 [HMX/TNT],5.2,6.8,6,7.2,0,0,0,0,0,0,0,0,0,4.74,1.8,8.16,0.030923994,27.56626506,1415.275708,8.337202999
Octol-76/23 {76.3/23.7} [HMX/TNT],4.711,7.289,6.815,7.526,0,0,0,0,0,0,0,0,0,10.1,1.81,8.45,0.032157506,27.40029468,1441.755499,8.561656851
PBX-9007,3.957,6.459,4.879,4.895,0,0,0,0,0,0,0,0,0,14.309197,1.64,8.09,0.032416525,25.08217018,1392.302883,7.785760927
PBX-9010,3.282,5.775,5.662,5.662,0,0,0,0,0.169,0.62,0,0,0,-18.330017,1.78,8.37,0.03304708,27.060057,1297.415498,8.328990524
PBX-9011,4.867,8.953,6.897,7.338,0,0,0,0,0,0,0,0,0,-11.400345,1.77,8.5,0.033256257,25.66207947,1357.272086,8.306025746
PBX-9205,3.829,6.585,5.211,5.254,0,0,0,0,0,0,0,0,0,12.182408,1.67,8.17,0.032826138,25.49474832,1406.241955,7.984637515
PBX-9404,4.126,8.106,7.479,7.945,0,0,0,0,0.093,0,0.031,0,0,0.236208,1.84,8.8,0.033645541,27.03537506,1442.156714,8.830335201
PBX-9407,3.073,5.78,5.56,5.56,0,0,0,0,0.147,0.22,0,0,0,25.39936,1.6,7.91,0.033443778,26.92362598,1517.890917,8.088598622
PBX-9501,4.306,8.362,7.621,7.874,0,0,0,0,0,0,0,0,0,6.677664,1.84,8.83,0.033609828,26.75320187,1441.384241,8.801349092
PBX-9502 95/5 [TATB/KEL],6.1,5.8,5.7,5.7,0,0,0,0,0.15,0.55,0,0,0,-43.11,1.9,7.71,0.0286,27.07692308,1024.44,7.649011693
PBX-9503 80/15/5 [TATB/HMX/KEL],5.8,6.1,6,6,0,0,0,0,0.15,0.55,0,0,0,-34.89,1.9,7.72,0.029429018,27.08305648,1095.228784,7.890224635
Pentolite 50/50,6.164,6.254,3.418,8.508,0,0,0,0,0,0,0,0,0,-64.23462,1.67,7.47,0.028487672,29.56487079,1398.221739,7.707865136
Pentolite-50/50 [PETN/TNT],6,6.5,3.5,9,0,0,0,0,0,0,0,0,0,-72,1.71,7.75,0.029005525,29.71428571,1422.099448,7.948695481
Pentolite-50/50 [PETN/TNT],6,6.5,3.5,9,0,0,0,0,0,0,0,0,0,-72,1.7,7.53,0.029005525,29.71428571,1422.099448,7.916634345
Pentolite-50/50 [PETN/TNT],6,6.5,3.5,9,0,0,0,0,0,0,0,0,0,-72,1.68,7.65,0.029005525,29.71428571,1422.099448,7.852512073
Pentolite-50/50 [PETN/TNT],6,6.5,3.5,9,0,0,0,0,0,0,0,0,0,-72,1.64,7.53,0.029005525,29.71428571,1422.099448,7.724267529
PETN,5,8,4,12,0,0,0,0,0,0,0,0,0,-128.6934,1.76,8.26,0.03164557,30.4,1514.261392,8.653230048
PETN,5,8,4,12,0,0,0,0,0,0,0,0,0,-129,1.7,8.07,0.03164557,30.4,1513.291139,8.446599125
PETN,5,8,4,12,0,0,0,0,0,0,0,0,0,-129,1.6,7.75,0.03164557,30.4,1513.291139,8.104525017
PETN,5,8,4,12,0,0,0,0,0,0,0,0,0,-129,1.45,7.18,0.03164557,30.4,1513.291139,7.591413855
PETN,5,8,4,12,0,0,0,0,0,0,0,0,0,-129,1.23,6.37,0.03164557,30.4,1513.291139,6.838850818
PETN,5,8,4,12,0,0,0,0,0,0,0,0,0,-129,0.99,5.48,0.03164557,30.4,1513.291139,6.017872959
PETN,5,8,4,12,0,0,0,0,0,0,0,0,0,-129,0.88,5.06,0.03164557,30.4,1513.291139,5.64159144
PETN,5,8,4,12,0,0,0,0,0,0,0,0,0,-129,0.48,3.6,0.03164557,30.4,1513.291139,4.273295009
PETN,5,8,4,12,0,0,0,0,0,0,0,0,0,-129,0.3,2.99,0.03164557,30.4,1513.291139,3.657561615
PETN,5,8,4,12,0,0,0,0,0,0,0,0,0,-129,0.25,2.83,0.03164557,30.4,1513.291139,3.486524561
Picratol-52/48 [EXP D/TNT],6.48,5.52,3.52,6.52,0,0,0,0,0,0,0,0,0,-56.08,1.63,6.97,0.027017899,28.3875,1182.742317,7.009174286
Picric Acid,6,3,3,7,0,0,0,0,0,0,0,0,0,-59.40563,1.7,7.35,0.02510917,33.04347826,1248.010349,7.320969089
Picric Acid ,6,3,3,7,0,0,0,0,0,0,0,0,0,-51.3,1.76,7.57,0.02510917,33.04347826,1283.406114,7.551475693
Picric Acid ,6,3,3,7,0,0,0,0,0,0,0,0,0,-51.3,1.71,7.26,0.02510917,33.04347826,1283.406114,7.402191654
Picric Acid ,6,3,3,7,0,0,0,0,0,0,0,0,0,-51.3,1.6,7.1,0.02510917,33.04347826,1283.406114,7.073766769
Polyvinyl Nitrate,2,3,1,3,0,0,0,0,0,0,0,0,0,-24.52437,1.5,7,0.030898876,26.90909091,1490.737416,7.412074533
RDX,3,6,6,6,0,0,0,0,0,0,0,0,0,14.6586,1.77,8.7,0.033783784,27.2,1482.245946,8.683470563
RDX,3,6,6,6,0,0,0,0,0,0,0,0,0,14.7,1.8,8.75,0.033783784,27.2,1482.432432,8.786338647
RDX,3,6,6,6,0,0,0,0,0,0,0,0,0,14.7,1.72,8.46,0.033783784,27.2,1482.432432,8.512752055
RDX,3,6,6,6,0,0,0,0,0,0,0,0,0,14.7,1.66,8.24,0.033783784,27.2,1482.432432,8.30756211
RDX,3,6,6,6,0,0,0,0,0,0,0,0,0,14.7,1.6,8.13,0.033783784,27.2,1482.432432,8.102372166
RDX,3,6,6,6,0,0,0,0,0,0,0,0,0,14.7,1.46,7.6,0.033783784,27.2,1482.432432,7.623595629
RDX,3,6,6,6,0,0,0,0,0,0,0,0,0,14.7,1.4,7.46,0.033783784,27.2,1482.432432,7.418405684
RDX,3,6,6,6,0,0,0,0,0,0,0,0,0,14.7,1.29,7,0.033783784,27.2,1482.432432,7.042224119
RDX,3,6,6,6,0,0,0,0,0,0,0,0,0,14.7,1.2,6.77,0.033783784,27.2,1482.432432,6.734439203
RDX,3,6,6,6,0,0,0,0,0,0,0,0,0,14.7,1.1,6.18,0.033783784,27.2,1482.432432,6.392455962
RDX,3,6,6,6,0,0,0,0,0,0,0,0,0,14.7,1,6.1,0.033783784,27.2,1482.432432,6.050472721
RDX,3,6,6,6,0,0,0,0,0,0,0,0,0,14.7,0.95,5.8,0.033783784,27.2,1482.432432,5.879481101
RDX,3,6,6,6,0,0,0,0,0,0,0,0,0,14.7,0.7,4.65,0.033783784,27.2,1482.432432,5.024522999
RDX,3,6,6,6,0,0,0,0,0,0,0,0,0,14.7,0.56,4.05,0.033783784,27.2,1482.432432,4.545746462
RDX/Al-50/50,1.5,3,3,3,0.5,0,0,0,0,0,0,0,0,6.16,1.89,6.81,0.033783784,27.2,1471.711712,9.077636964
RDX/Al-60/40,1.8,3.6,3.6,3.6,0.4,0,0,0,0,0,0,0,0,7.86,1.84,7.2,0.033783784,27.2,1475.225225,8.912266618
RDX/Al-70/30,2.1,4.2,4.2,4.2,0.3,0,0,0,0,0,0,0,0,9.57,1.79,7.58,0.033783784,27.2,1477.799228,8.745293794
RDX/Al-80/20,2.4,4.8,4.8,4.8,0.2,0,0,0,0,0,0,0,0,11.28,1.73,7.77,0.033783784,27.2,1479.72973,8.543052111
RDX/Al-90/10,2.7,5.4,5.4,5.4,0.1,0,0,0,0,0,0,0,0,12.99,1.68,8.03,0.033783784,27.2,1481.231231,8.374261502
TACOT,12,4,8,8,0,0,0,0,0,0,0,0,0,128.106,1.85,7.25,0.023195876,31.11111111,1354.912371,7.504997717
TATB,6,6,6,6,0,0,0,0,0,0,0,0,0,-36.9226,1.88,7.76,0.029069767,27.2,1075.493798,7.756208925
TATB,6,6,6,6,0,0,0,0,0,0,0,0,0,-36.9,1.85,7.66,0.029069767,27.2,1075.581395,7.668533429
Tetramethylolcyclopentanone Tetranitrate,9,12,4,13,0,0,0,0,0,0,0,0,0,-161.59452,1.55,7.04,0.029947917,27.65217391,1339.076771,7.310139879
Tetryl,7,5,5,8,0,0,0,0,0,0,0,0,0,4.6781,1.71,7.85,0.027003484,30.4516129,1420.481185,7.714415541
Tetryl,7,5,5,8,0,0,0,0,0,0,0,0,0,4.67,1.73,7.72,0.027003484,30.4516129,1420.452962,7.776609245
Tetryl,7,5,5,8,0,0,0,0,0,0,0,0,0,4.67,1.68,7.5,0.027003484,30.4516129,1420.452962,7.621029189
Tetryl,7,5,5,8,0,0,0,0,0,0,0,0,0,4.67,1.61,7.58,0.027003484,30.4516129,1420.452962,7.403217111
Tetryl,7,5,5,8,0,0,0,0,0,0,0,0,0,4.67,1.36,6.68,0.027003484,30.4516129,1420.452962,6.625316833
Tetryl,7,5,5,8,0,0,0,0,0,0,0,0,0,4.67,1.2,6.34,0.027003484,30.4516129,1420.452962,6.127460655
TNETB/Al-70/30,4.2,4.2,4.2,9.8,0.3,0,0,0,0,0,0,0,0,-84.02,1.88,7.84,0.029792746,33.04347826,1477.646188,8.924909848
TNETB/Al-80/20,4.8,4.8,4.8,11.2,0.2,0,0,0,0,0,0,0,0,-95.68,1.82,7.99,0.029792746,33.04347826,1478.756477,8.724415834
TNETB/Al-90/10,5.4,5.4,5.4,12.6,0.1,0,0,0,0,0,0,0,0,-107.34,1.75,8.12,0.029792746,33.04347826,1479.620035,8.489789765
TNT,7,5,3,6,0,0,0,0,0,0,0,0,0,-17.7138,1.64,6.93,0.025330396,28.52173913,1283.199119,6.963565019
TNT,7,5,3,6,0,0,0,0,0,0,0,0,0,-15,1.45,6.5,0.025330396,28.52173913,1295.154185,6.42928317
TNT,7,5,3,6,0,0,0,0,0,0,0,0,0,-15,1.36,6.2,0.025330396,28.52173913,1295.154185,6.16854621
TNT,7,5,3,6,0,0,0,0,0,0,0,0,0,-15,1,5,0.025330396,28.52173913,1295.154185,5.125598368
TNT,7,5,3,6,0,0,0,0,0,0,0,0,0,-15,0.8,4.34,0.025330396,28.52173913,1295.154185,4.5461829
TNT,7,5,3,6,0,0,0,0,0,0,0,0,0,-16.03326,1.6,6.9,0.025330396,28.52173913,1290.602379,6.857806078
TNT/Al-(67.8/32.2),4.75,3.39,2.03,4.07,0.322,0,0,0,0,0,0,0,0,-10.94,1.89,7.05,0.025319951,28.52597819,1290.560644,7.695855796
TNT/Al-(78.3/21.7),5.48,3.92,2.35,4.7,0.217,0,0,0,0,0,0,0,0,-12.26,1.8,7.05,0.025340308,28.51498335,1292.653842,7.440680016
TNT/Al-(89.4/10.6),6.26,4.47,2.68,5.36,0.106,0,0,0,0,0,0,0,0,-13.66,1.72,7.05,0.025324099,28.51581509,1293.42929,7.207821283
TNTAB,6,0,12,6,0,0,0,0,0,0,0,0,0,270,1.74,8.58,0.026785714,33.33333333,1642.857143,8.248530468
Triaminoguanidine Nitrate,1,9,7,3,0,0,0,0,0,0,0,0,0,-11.49648,0.95,5.3,0.043413174,20.13793103,1066.488144,5.693802374
Trinitroaniline,6,4,4,6,0,0,0,0,0,0,0,0,0,-20.0728,1.72,7.3,0.026315789,30,1243.540351,7.368572698
